epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8083730340003967,0.7617455124855042,0.001,0.8848636150360107,0.760707676410675,0.9244444370269775,0.3979153633117676,0.9527385234832764,0.9046605229377747
1,0.8652579188346863,0.6118348836898804,0.001,0.9053207039833069,0.8388227224349976,0.9351234436035156,0.3981279730796814,0.9571799635887146,0.9210493564605713
2,0.8761177062988281,0.5973749756813049,0.001,0.9124941825866699,0.8526389002799988,0.9360185265541077,0.40999874472618103,0.9578613042831421,0.9211728572845459
3,0.8800463080406189,0.5815938115119934,0.001,0.9150182008743286,0.8568915128707886,0.9438271522521973,0.3788559138774872,0.9622780084609985,0.9298456907272339
4,0.8842195868492126,0.5632354021072388,0.001,0.9180160164833069,0.8620304465293884,0.9364814758300781,0.38404595851898193,0.9593392014503479,0.9248148202896118
5,0.8871362209320068,0.5468665957450867,0.001,0.9195267558097839,0.8650727272033691,0.9462037086486816,0.3568204343318939,0.9661922454833984,0.9323456883430481
6,0.8874272704124451,0.5415109395980835,0.001,0.920829176902771,0.8649338483810425,0.9387962818145752,0.36577337980270386,0.956426203250885,0.9267592430114746
7,0.8890873193740845,0.527704656124115,0.001,0.9216545224189758,0.8666600584983826,0.944969117641449,0.3505037724971771,0.9635823965072632,0.9317901134490967
8,0.8883928656578064,0.5242531895637512,0.001,0.9220952987670898,0.8668915629386902,0.9477469325065613,0.33436158299446106,0.9656073451042175,0.9350000023841858
9,0.8913690447807312,0.5177466869354248,0.001,0.923799455165863,0.8689947128295898,0.947685182094574,0.33859649300575256,0.9647586941719055,0.9353395104408264
10,0.8900793790817261,0.5135798454284668,0.001,0.9234660863876343,0.8680092692375183,0.9483024477958679,0.3323947787284851,0.9666869044303894,0.9350308775901794
11,0.8904034495353699,0.5149826407432556,0.001,0.9232181906700134,0.8677579164505005,0.9489814639091492,0.32287612557411194,0.9657649397850037,0.9377160668373108
12,0.8910185098648071,0.5092599391937256,0.001,0.9238871335983276,0.8684722185134888,0.9528703689575195,0.3141481280326843,0.969496488571167,0.9407407641410828
13,0.8921098113059998,0.5039809942245483,0.001,0.9244440197944641,0.870383620262146,0.9519752860069275,0.3146267533302307,0.9673812985420227,0.9400617480278015
14,0.8925859928131104,0.5022144317626953,0.001,0.924680233001709,0.8702512979507446,0.953641951084137,0.3054240047931671,0.9691317081451416,0.942839503288269
15,0.8927513360977173,0.49929672479629517,0.001,0.9244846105575562,0.8710516095161438,0.948271632194519,0.31931644678115845,0.9652411341667175,0.9376543164253235
16,0.8930952548980713,0.4970625042915344,0.001,0.9251243472099304,0.8710119128227234,0.9558950662612915,0.29966020584106445,0.9703478217124939,0.9453703761100769
17,0.8914352059364319,0.4971431791782379,0.001,0.9241864681243896,0.8691203594207764,0.9472222328186035,0.3156987130641937,0.9634181261062622,0.9363889098167419
18,0.8933266997337341,0.495146781206131,0.001,0.9257789850234985,0.8718915581703186,0.9494752883911133,0.3130401074886322,0.9660015106201172,0.9383333325386047
19,0.891613781452179,0.4969617426395416,0.001,0.9249480962753296,0.8691269755363464,0.9545061588287354,0.3020845353603363,0.9708781242370605,0.9425308704376221
